clip	direction	frame	player_x	player_y	tool_x	tool_y	duration_ms
idle	down	0	0	0	-	-	0
idle	right	0	0	64	-	-	0
idle	up	0	0	128	-	-	0
walk	down	0	0	0	-	-	160
walk	down	1	64	0	-	-	160
walk	down	2	128	0	-	-	160
walk	down	3	192	0	-	-	160
walk	down	4	256	0	-	-	160
walk	down	5	320	0	-	-	160
walk	right	0	0	64	-	-	160
walk	right	1	64	64	-	-	160
walk	right	2	128	64	-	-	160
walk	right	3	192	64	-	-	160
walk	right	4	256	64	-	-	160
walk	right	5	320	64	-	-	160
walk	up	0	0	128	-	-	160
walk	up	1	64	128	-	-	160
walk	up	2	128	128	-	-	160
walk	up	3	192	128	-	-	160
walk	up	4	256	128	-	-	160
walk	up	5	320	128	-	-	160
hoe	down	0	0	2240	0	384	100
hoe	down	1	64	2240	64	384	100
hoe	down	2	128	2240	128	384	100
hoe	down	3	192	2240	192	384	100
hoe	down	4	256	2240	256	384	100
hoe	down	5	320	2240	320	384	100
hoe	right	0	0	2304	0	448	100
hoe	right	1	64	2304	64	448	100
hoe	right	2	128	2304	128	448	100
hoe	right	3	192	2304	192	448	100
hoe	right	4	256	2304	256	448	100
hoe	right	5	320	2304	320	448	100
hoe	up	0	0	2368	0	512	100
hoe	up	1	64	2368	64	512	100
hoe	up	2	128	2368	128	512	100
hoe	up	3	192	2368	192	512	100
hoe	up	4	256	2368	256	512	100
hoe	up	5	320	2368	320	512	100
water	down	0	0	2432	0	576	100
water	down	1	64	2432	64	576	100
water	down	2	128	2432	128	576	100
water	down	3	192	2432	192	576	100
water	down	4	256	2432	256	576	100
water	down	5	320	2432	320	576	100
water	right	0	0	2496	0	640	100
water	right	1	64	2496	64	640	100
water	right	2	128	2496	128	640	100
water	right	3	192	2496	192	640	100
water	right	4	256	2496	256	640	100
water	right	5	320	2496	320	640	100
water	up	0	0	2560	0	704	100
water	up	1	64	2560	64	704	100
water	up	2	128	2560	128	704	100
water	up	3	192	2560	192	704	100
water	up	4	256	2560	256	704	100
water	up	5	320	2560	320	704	100
