name	source	x	y	width	height
terrain.grass	tiles.grass	0	0	16	16
terrain.path	tiles.path.base	0	0	16	16
terrain.farmable.soil	tiles.farmland.dry	32	16	16	16
terrain.farmland.dry.0	tiles.farmland.dry	0	0	16	16
terrain.farmland.dry.1	tiles.farmland.dry	0	48	16	16
terrain.farmland.dry.2	tiles.farmland.dry	16	48	16	16
terrain.farmland.dry.3	tiles.farmland.dry	16	32	16	16
terrain.farmland.dry.4	tiles.farmland.dry	0	16	16	16
terrain.farmland.dry.5	tiles.farmland.dry	0	32	16	16
terrain.farmland.dry.6	tiles.farmland.dry	16	0	16	16
terrain.farmland.dry.7	tiles.farmland.dry	16	16	16	16
terrain.farmland.dry.8	tiles.farmland.dry	48	48	16	16
terrain.farmland.dry.9	tiles.farmland.dry	48	32	16	16
terrain.farmland.dry.10	tiles.farmland.dry	32	48	16	16
terrain.farmland.dry.11	tiles.farmland.dry	32	32	16	16
terrain.farmland.dry.12	tiles.farmland.dry	48	0	16	16
terrain.farmland.dry.13	tiles.farmland.dry	48	16	16	16
terrain.farmland.dry.14	tiles.farmland.dry	32	0	16	16
terrain.farmland.dry.15	tiles.farmland.dry	32	16	16	16
terrain.farmland.wet.0	tiles.farmland.wet	0	0	16	16
terrain.farmland.wet.1	tiles.farmland.wet	0	48	16	16
terrain.farmland.wet.2	tiles.farmland.wet	16	48	16	16
terrain.farmland.wet.3	tiles.farmland.wet	16	32	16	16
terrain.farmland.wet.4	tiles.farmland.wet	0	16	16	16
terrain.farmland.wet.5	tiles.farmland.wet	0	32	16	16
terrain.farmland.wet.6	tiles.farmland.wet	16	0	16	16
terrain.farmland.wet.7	tiles.farmland.wet	16	16	16	16
terrain.farmland.wet.8	tiles.farmland.wet	48	48	16	16
terrain.farmland.wet.9	tiles.farmland.wet	48	32	16	16
terrain.farmland.wet.10	tiles.farmland.wet	32	48	16	16
terrain.farmland.wet.11	tiles.farmland.wet	32	32	16	16
terrain.farmland.wet.12	tiles.farmland.wet	48	0	16	16
terrain.farmland.wet.13	tiles.farmland.wet	48	16	16	16
terrain.farmland.wet.14	tiles.farmland.wet	32	0	16	16
terrain.farmland.wet.15	tiles.farmland.wet	32	16	16	16
crop.wheat.seed_bag	crops.sheet	0	16	16	16
crop.wheat.stage_0	crops.sheet	32	16	16	16
crop.wheat.stage_1	crops.sheet	48	16	16	16
crop.wheat.stage_2	crops.sheet	64	16	16	16
crop.wheat.stage_3	crops.sheet	80	16	16	16
crop.wheat.harvest	crops.sheet	96	16	16	16
crop.carrot.seed_bag	crops.sheet	0	80	16	16
crop.carrot.stage_0	crops.sheet	32	80	16	16
